"A1001","ADARSHA VIDYAMANDIR"
"A1002","ATHENAEUM INSTITUTION(H.S)"
"A1004","BELIAGHATA DESHBANDHU HIGH SCHOOL (BR)"
"A1005","BELIAGHATA DESHBANDHU HIGH SCHOOL (MAIN)"
"A1006","BELIAGHATA DR.SHYAMA PRASAD MUKHERJEE INSTITUTION."
"A1007","BELIAGHATA SANTI SANGHA VIDYAYATAN FOR BOY'S"
"A1008","BENEPUKUR VIDYAPITH"
"A1009","BHUTNATH MAHAMAYA INSTITUTION"
"A1010","BOWBAZAR HIGH SCHOOL"
"A1011","BOWBAZAR TRAINING HIGH SCHOOL"
"A1012","BRAHMO BOY'S SCHOOL"
"A1013","CALCUTTA ACADEMY"
"A1014","CALCUTTA ANGLO GUJRATHI SCHOOL (BOYS)"
"A1015","CALCUTTA MADRASAH (ANGLO PERSIAN DEPTT)"
"A1016","CALCUTTA MUSLIM ORPHANAGE HIGH SCHOOL"
"A1017","CAREY HIGH SCHOOL"
"A1018","CENTRAL MODEL SCHOOL"
"A1019","CITY COLLEGE SCHOOL"
"A1020","COLLINS INSTITUTE"
"A1021","ENTALLY ACADEMY"
"A1022","GOVT.SPON. MULTIPURPOSE SCHOOL FOR BOYS TAKI HOUSE"
"A1024","HINDU SCHOOL"
"A1025","ISLAMIA HIGH SCHOOL"
"A1026","JAISWAL VIDYAMANDIR"
"A1027","KANKURGACHI VIVEKANANDA VIDYAPITH (BOYS)"
"A1028","KHANNA HIGH SCHOOL"
"A1029","KISHORE VIDYAPITH"
"A1030","LEE COLLINS HIGH SCHOOL"
"A1031","M L JUBILEE INSTITUTION"
"A1032","MANIKTALA HIGH SCHOOL"
"A1034","METROPOLITAN INSTITUTION (BOWBAZAR BR)"
"A1035","METROPOLITAN INSTN.(MAIN)"
"A1036","MITRA INSTITUTION (MAIN)"
"A1037","MITRA SANGHA VIDYAYATAN HIGH SCHOOL"
"A1038","MODERN SCHOOL"
"A1039","MOMIN HIGH SCHOOL"
"A1040","NARIKELDANGA DESHABANDHU VIDYAPITH"
"A1041","NARIKELDANGA HIGH SCHOOL"
"A1042","NEW NATIONAL H. SCHOOL"
